Exchange rates:
FJD: 2.440356
MXN: 18.377548
STD: 22491.571367
LVL: 0.657306
SCR: 14.799962
CDF: 3010.035559
BBD: 2.195246
GTQ: 8.491702
CLP: 1062.195085
HNL: 26.850604
UGX: 4256.854595
ZAR: 20.528419
TND: 3.38656
SLE: 24.667289
CUC: 1.086655
BSD: 1.087252
SLL: 24667.288537
SDG: 653.080215
IQD: 1424.269146
CUP: 28.796366
GMD: 73.865362
TWD: 34.312776
RSD: 117.200121
DOP: 63.961869
KMF: 493.911982
MYR: 5.139748
FKP: 0.854921
XOF: 657.318225
GEL: 2.879994
BTC: 1.6120683E-5
UYU: 42.348283
MAD: 10.938052
CVE: 110.494838
TOP: 2.577331
AZN: 1.850365
OMR: 0.418297
PGK: 4.148572
KES: 155.932275
SEK: 11.281976
BTN: 90.130193
UAH: 41.753466
GNF: 9346.355149
ERN: 16.29983
MZN: 69.002736
SVC: 9.513702
ARS: 918.495426
QAR: 3.95624
IRR: 45672.124026
CNY: 7.823261
THB: 38.796859
UZS: 13618.389993
XPF: 119.331742
MRU: 43.367928
BDT: 119.328212
LYD: 5.251876
BMD: 1.086655
KWD: 0.334342
PHP: 60.670681
RUB: 99.575654
PYG: 7948.460281
ISK: 149.099641
JMD: 169.050082
COP: 4286.561877
MKD: 61.606515
USD: 1.086655
DZD: 146.273853
PAB: 1.087262
GGP: 0.854921
SGD: 1.457379
ETB: 61.707621
JEP: 0.854921
KGS: 97.179311
SOS: 621.021382
VEF: 3917196.021981
VUV: 130.892113
LAK: 22703.015146
BND: 1.461413
ZMK: 9781.206728
XAF: 657.312164
LRD: 208.637874
XAG: 0.045875
CHF: 0.961157
HRK: 7.63929
ALL: 104.215818
DJF: 193.610944
VES: 39.157682
ZMW: 25.903643
TZS: 2765.537819
VND: 26848.536547
XAU: 5.11E-4
AUD: 1.667723
ILS: 3.919919
GHS: 13.862836
GYD: 227.473162
KPW: 978.010876
BOB: 7.512627
KHR: 4418.108701
MDL: 19.331032
IDR: 17074.995518
KYD: 0.906085
AMD: 439.115415
BWP: 14.893843
SHP: 1.377608
TRY: 34.468487
LBP: 97364.774452
TJS: 11.894697
JOD: 0.770461
AED: 3.991176
HKD: 8.500714
RWF: 1390.667102
EUR: 1.0
LSL: 20.755301
DKK: 7.453912
CAD: 1.476678
BGN: 1.956741
MMK: 2283.228284
MUR: 49.801436
NOK: 11.484749
SYP: 14128.486721
IMP: 0.854921
ZWL: 349.902573
GIP: 0.854921
RON: 4.972209
LKR: 334.993731
NGN: 1695.722945
CRC: 558.651758
CZK: 25.345908
PKR: 303.696518
XCD: 2.93674
ANG: 1.95944
HTG: 144.147185
BHD: 0.409444
KZT: 487.403839
SRD: 38.38393
SZL: 20.620703
LTL: 3.20861
SAR: 4.075314
TTD: 7.372267
YER: 272.098525
MVR: 16.730686
AFN: 77.590323
INR: 90.079162
AWG: 1.958153
KRW: 1450.369925
NPR: 144.205304
JPY: 162.651632
MNT: 3692.807327
AOA: 900.31785
PLN: 4.313493
GBP: 0.854383
SBD: 9.210432
BYN: 3.558218
HUF: 393.393153
BYR: 21298.444453
BIF: 3107.606873
MWK: 1830.290306
MGA: 4897.141376
XDR: 0.819597
BZD: 2.191538
BAM: 1.959877
EGP: 33.565047
MOP: 8.761064
NAD: 20.753891
NIO: 40.012862
PEN: 4.107062
NZD: 1.7823
WST: 2.994868
TMT: 3.81416
CLF: 0.038495
BRL: 5.387854
